token,kind,lang
# Canonical tech vocabulary for cold-start prediction + grammar sparing.
# `token` keeps its real casing (emitted verbatim as ghost text and spared by
# the grammar module); `kind` is "tech" for identifiers, "word" for plain words;
# `lang` is an optional language hint. Loaded at low confidence so the user's own
# proven vocabulary quickly outranks these seeds.
# ── Languages ──
Python,tech,python
JavaScript,tech,javascript
TypeScript,tech,typescript
Java,tech,java
Kotlin,tech,kotlin
Swift,tech,swift
Rust,tech,rust
Golang,tech,go
Ruby,tech,ruby
PHP,tech,php
Scala,tech,scala
Elixir,tech,elixir
Haskell,tech,haskell
HTML,tech,html
CSS,tech,css
SCSS,tech,scss
SQL,tech,sql
Bash,tech,bash
PowerShell,tech,powershell
# ── Frameworks ──
React,tech,
Next.js,tech,
Vue,tech,
Angular,tech,
Svelte,tech,
SvelteKit,tech,
Remix,tech,
Astro,tech,
Django,tech,
Flask,tech,
FastAPI,tech,
Express,tech,
NestJS,tech,
Spring,tech,
Laravel,tech,
Rails,tech,
Gin,tech,
Actix,tech,
# ── Libraries / styling ──
Tailwind,tech,
Bootstrap,tech,
Redux,tech,
Zustand,tech,
Prisma,tech,
SQLAlchemy,tech,
Pydantic,tech,
NumPy,tech,
Pandas,tech,
PyTorch,tech,
TensorFlow,tech,
scikit-learn,tech,
Matplotlib,tech,
Three.js,tech,
Socket.IO,tech,
# ── Databases / infra ──
PostgreSQL,tech,
MySQL,tech,
SQLite,tech,
MongoDB,tech,
Redis,tech,
Elasticsearch,tech,
Docker,tech,
Kubernetes,tech,
Nginx,tech,
Terraform,tech,
Ansible,tech,
GraphQL,tech,
WebSocket,tech,
# ── Security / pentest tooling ──
nmap,tech,
nikto,tech,
gobuster,tech,
ffuf,tech,
sqlmap,tech,
hydra,tech,
metasploit,tech,
searchsploit,tech,
theHarvester,tech,
binwalk,tech,
wireshark,tech,
burpsuite,tech,
# ── Common instruction words ──
Create,word,
Implement,word,
Generate,word,
Refactor,word,
Optimize,word,
Analyze,word,
Explain,word,
Debug,word,
Configure,word,
Deploy,word,
Enumerate,word,
Function,word,
Component,word,
Endpoint,word,
Middleware,word,
Database,word,
Migration,word,
Responsive,word,
Authentication,word,
Authorization,word,
Vulnerability,word,
Payload,word,
# ── More languages ──
Dart,tech,dart
Lua,tech,lua
Perl,tech,perl
Clojure,tech,clojure
Zig,tech,zig
Solidity,tech,solidity
GDScript,tech,gdscript
# ── More frameworks / runtimes ──
Node.js,tech,
Deno,tech,
Bun,tech,
Flutter,tech,
SwiftUI,tech,
Electron,tech,
Nuxt,tech,
Phoenix,tech,
Fiber,tech,
Quart,tech,
Starlette,tech,
# ── More libraries / tools ──
Vite,tech,
